,Date,Open,High,Low ,Close,Volume ,Market Cap
0,2020-07-13,9277.2,9306.4,9224.29,9243.61,17519821266,170379677119
1,2020-07-12,9241.06,9319.42,9197.45,9276.5,14452361907,170977422928
2,2020-07-11,9277.51,9293.53,9199.49,9240.35,13249910444,170302234778
3,2020-07-10,9273.36,9287.47,9118.0,9278.81,16860035605,171001933827
4,2020-07-09,9427.99,9431.38,9235.0,9277.97,18000702524,170977231638
5,2020-07-08,9253.02,9450.34,9249.5,9428.33,19702359883,173738543115
6,2020-07-07,9349.16,9360.62,9201.82,9252.28,13839652595,170485472276
7,2020-07-06,9072.85,9375.47,9058.66,9375.47,17889263252,172746103840
8,2020-07-05,9126.09,9162.18,8977.02,9073.94,12903406143,167181726154
9,2020-07-04,9084.23,9183.3,9053.63,9132.49,12290528515,168251076678
10,2020-07-03,9124.84,9202.34,9058.79,9087.3,13078970999,167409720388
11,2020-07-02,9231.14,9274.96,9036.62,9123.41,16338916796,168065586387
12,2020-07-01,9145.99,9309.75,9104.73,9228.33,15971550355,169988756578
13,2020-06-30,9185.58,9217.84,9084.84,9137.99,15735797744,168315606321
14,2020-06-29,9140.03,9237.57,9041.88,9190.85,16460547078,169280659246
15,2020-06-28,9048.46,9197.55,8975.53,9143.58,14560870760,168401806137
16,2020-06-27,9167.82,9207.81,8998.22,9045.39,17273093144,166584831506
17,2020-06-26,9260.99,9310.52,9101.74,9162.92,18341465837,168741367622
18,2020-06-25,9314.13,9340.16,9095.32,9264.81,18616048626,170608289504
19,2020-06-24,9632.15,9680.37,9278.23,9313.61,18961716076,171498781280
20,2020-06-23,9644.08,9670.54,9547.25,9629.66,17006433272,177310052079
21,2020-06-22,9300.92,9655.07,9296.87,9648.72,21104009514,177651397437
22,2020-06-21,9330.93,9401.11,9300.43,9303.63,15324301169,171289415079
23,2020-06-20,9290.96,9394.97,9247.38,9332.34,17130541557,171809438651
24,2020-06-19,9410.29,9440.88,9274.3,9288.02,19632223107,170985625732
